"","country","iso3code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"183","St. Lucia","LCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","St. Martin (French part)","MAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","St. Vincent and the Grenadines","VCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Sudan","SDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,NA,NA,NA,NA,NA,NA,NA
"187","Suriname","SUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Sweden","SWE",NA,NA,NA,25.3,26.1,26.8,26.4,27.1,28.1,27.3,27.7,27.6,27.6,28.8,28.4,29.2,NA
"189","Switzerland","CHE",NA,NA,NA,NA,NA,NA,33.9,34.3,33.8,32.9,32.6,31.7,31.6,32.5,32.5,32.3,NA
"190","Syrian Arab Republic","SYR",NA,NA,NA,NA,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Tajikistan","TJK",NA,NA,NA,32.7,33.6,NA,NA,32.2,NA,30.8,NA,NA,NA,NA,NA,34,NA
"192","Tanzania","TZA",37.3,NA,NA,NA,NA,NA,NA,40.3,NA,NA,NA,37.8,NA,NA,NA,NA,NA
"193","Thailand","THA",42.8,NA,41.9,NA,42.5,NA,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37,36,NA
"194","Timor-Leste","TLS",NA,35.9,NA,NA,NA,NA,NA,27.8,NA,NA,NA,NA,NA,NA,28.7,NA,NA
"195","Togo","TGO",NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA,NA,46,NA,NA,NA,43.1,NA
"196","Tonga","TON",NA,37.7,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA
"197","Trinidad and Tobago","TTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Tunisia","TUN",40.8,NA,NA,NA,NA,37.7,NA,NA,NA,NA,35.8,NA,NA,NA,NA,NA,NA
"199","Turkey","TUR",NA,NA,41.4,42.2,41.3,42.6,39.6,38.4,39,39,38.8,40,40.2,40.2,41.2,42.9,41.9
