"","Total revenue","General revenue","Intergovernmental revenue","Taxes","General sales","Selective sales","License taxes","Individual income tax","Corporate income tax","Other taxes","Current charge","Miscellaneous general revenue","Utility revenue","Liquor stores revenue","Insurance trust revenue","Total expenditure","Intergovernmental expenditure","Direct expenditure","Current operation","Capital outlay","Insurance benefits and repayments","Assistance and subsidies","Interest on debt","Exhibit: Salaries and wages","Total expenditure.1","General expenditure","Intergovernmental expenditure.1","Direct expenditure.1","Education","Public welfare","Hospitals","Health","Highways","Police protection","Correction","Natural resources","Parks and recreation","Governmental administration","Interest on general debt","Other and unallocable","Utility expenditure","Liquor stores expenditure","Insurance trust expenditure","Debt at end of fiscal year","Cash and security holdings"
"South Dakota"," 6113763"," 4407425"," 1574684"," 1828543"," 1065361","  452612","  269481","       0","   30728","   10361","  399283","  604915",NA,NA," 1706338"," 5265167","  863182"," 4401985"," 2998573","  587919","  572221","  134712","  108560","  788555"," 5265167"," 4692946","  863182"," 3829764"," 1519557"," 1154441","   23579","  165103","  664095","   47261","  120790","  187574","   42070","  203930","  108560","  455986",NA,NA,"  572221"," 3527703","17051254"
"Tennessee","35414548","29405724","11161689","13893728"," 7260193"," 2750772"," 1635495","  249977"," 1726223","  271068"," 2292033"," 2058274",NA,NA," 6008824","33218749"," 7882887","25335862","19566883"," 1530839"," 2654456"," 1327944","  255740"," 4100046","33218749","30562884"," 7882887","22679997","10574305","12447574","  409713","  738464"," 1641757","  277908","  972601","  352507","  109297","  966453","  255740"," 1816565","    1409",NA," 2654456"," 6127422","64259479"
"Texas","163975910","128756803"," 44657763"," 53612926"," 32490144"," 14407208","  3432901","        0","        0","  3282673"," 15915730"," 14570384",NA,NA," 35219107","146437845"," 29581049","116856796"," 83441646"," 11054713"," 18228620","  2826829","  1304988"," 18986791","146437845","128205570"," 29581049"," 98624521"," 54200415"," 37986943","  7134155","  2991203"," 10039223","  1183713","  4219031","   836608","   256743","  2367314","  1304988","  5685234","     3655",NA," 18228620"," 50963262","338343392"
"Utah","22642916","18699738"," 4524182"," 7832889"," 2533961","  996848","  321715"," 3621199","  329577","   29589"," 5154042"," 1188625","       0","  380544"," 3562634","20595842"," 3784508","16811334","12134456"," 1739728"," 1871857","  828978","  236315"," 3560494","20595842","18449015"," 3784508","14664507"," 8444264"," 3769434"," 1970170","  335385"," 1211388","  150315","  372616","  213338","   53370","  999727","  236315","  692693","       0","  274970"," 1871857"," 7453346","36227909"
"Vermont","5962406","5104187","1075163","3127523"," 375870"," 682699"," 127049"," 743630","  81395","1116880"," 655776"," 245725",NA,"  64126"," 794093","8665775","1775714","6890061","5811126"," 336308"," 396364"," 245190"," 101073"," 959299","8665775","8155785","1775714","6380071","2906638","3400225"," 224824"," 163781"," 437888"," 110600"," 154593"," 123704","  20330"," 222304"," 101073"," 289825","  52878","  60748"," 396364","3502960","6455448"
"Virginia"," 61398238"," 47186364"," 10699877"," 22213025","  3970133","  2945964","   856649"," 13052887","   826961","   560431"," 10188344","  4085118","        0","   779038"," 13432836"," 53436948"," 11927574"," 41509374"," 30936255","  3231529","  5008883","  1218223","  1114484","  7751506"," 53436948"," 47653847"," 11927574"," 35726273"," 16598849"," 11169667","  4954417","  1498307","  4837855","   492487","  1538611","   315847","   165607","  2068946","  1114484","  2898770","   151169","   623049","  5008883"," 27825929","103445108"
"Washington"," 62989517"," 47091108"," 14228084"," 23997592"," 14509841","  4660927","  1453628","        0","        0","  3373196","  5882552","  2982880","      221","        0"," 15898188"," 54878871"," 12657621"," 42221250"," 29318781","  3165197","  7190780","  1056420","  1490072","  8302069"," 54878871"," 47443213"," 12657621"," 34785592"," 19629589"," 12195196","  4409139","  1957734","  2429486","   429060","   998828","   900049","   142693","  1106616","  1490072","  1754751","   244878","        0","  7190780"," 33427752","112997143"
"West Virginia","16383096","13182692"," 5109431"," 5092275"," 1334168"," 1338719","  148951"," 1813866","  116305","  340266"," 1805124"," 1175862","    2732","   93039"," 3104633","14686179"," 2457100","12229079"," 9226052","  906260"," 1571731","  318476","  206560"," 1816508","14686179","13028758"," 2457100","10571658"," 4285354"," 4732909","  149541","  298684"," 1148911","   81031","  301041","  272671","   53902","  483631","  206560"," 1014523","   10001","   75689"," 1571731"," 7547010","21745373"
"Wisconsin"," 46800615"," 35545520","  9583175"," 18133496","  5223935","  2749024","  1179054","  7792543","   959699","   229241","  4643405","  3185444","        0",NA," 11255095"," 39873101","  8826031"," 31047070"," 21277727","  2991683","  5459008","   665198","   653454","  4351591"," 39873101"," 34332896","  8826031"," 25506865"," 12363945"," 10691615","  2356650","   562177","  3844589","    51250","  1069838","   532087","    21261","  1001273","   653454","  1184757","    81197",NA,"  5459008"," 23252381","112614203"
"Wyoming"," 6921543"," 5655042"," 2687389"," 1649550","  588866","  173722","  161973","       0","       0","  724989","  220442"," 1097661","     431","  111231"," 1154839"," 7711799"," 2416266"," 5295533"," 3717886","  651461","  837909","   50261","   38016","  703571"," 7711799"," 6703621"," 2416266"," 4287355"," 2137288","  844954","    3577","  395112","  749117","   39462","  134426","  238319","   24133","  389671","   38016"," 1709546","   73645","   96624","  837909","  769721","27240867"
