"","Country","Broadband","Cells","Servers","Exports","mac.addresses","IXP"
"179","OED",31.1243454973832,117.935150225418,150,993756172909,NA,NA
"180","OMN",7.526019884,149.7738911,142.78744385024,48362448,NA,NA
"181","OSS",7.16433227272575,115.984214791113,3424.35753218098,NA,NA,NA
"182","PAK",0.928692806,73.35732631,121.426713892283,353237841,NA,1
"183","PAN",10.88365332,126.6723629,2155.62094936621,NA,NA,1
"184","PER",7.182285608,120.9849191,213.676243339716,196990670,"1",1
"185","PHL",3.239947468,110.3956258,88.0591707302335,32114258015,"5",6
"186","PLW",NA,NA,184.085783975333,1262266,NA,NA
"187","PNG",0.218151092,48.69617152,31.7531033810753,NA,NA,NA
"188","POL",19.99165486,132.1925931,6534.93448528243,13678247819,"50",11
"189","PRE",0.384781829905524,68.7251120383418,57.2213071799441,NA,NA,NA
"190","PRI",18.02010357,92.52745807,283.007433681975,NA,NA,3
"191","PRK",NA,14.94647221,0.0392295858552236,NA,"2",NA
"192","PRT",34.60036714,113.8883699,12464.7825791482,2350793409,"15",1
"193","PRY",4.08393585,109.645417,188.363537810787,60846210,NA,1
"194","PSE",7.342395143,81.21174852,520.835890374291,NA,NA,2
"195","PSS",1.16779441323514,86.1170130387144,137.918256846167,NA,NA,NA
"196","PST",34.0066398514591,123.076297015603,150,1163378584944,NA,NA
"197","PYF",20.38253471,101.7073783,583.024448158526,NA,NA,NA
"198","QAT",9.721087098,151.1270603,414.138922579513,NA,"1",NA
"199","REU",NA,NA,NA,NA,NA,1
"200","ROU",24.27423508,113.8251522,12257.3617035878,5099209139,"3",5
"201","RUS",21.60100572,157.8582202,3541.09719015114,9174217407,"141",25
"202","RWA",0.178401654,72.23888424,17.9384583099171,NA,NA,2
"203","SAS",1.61048201246676,86.9342165990616,118.496600872348,NA,NA,NA
"204","SAU",7.585997455,122.0799835,167.616864946498,NA,NA,1
"205","SDN",0.076682572,70.6681119,1.87354740786416,549176,NA,1
"206","SEN",0.705305999,99.41831103,8.5801347043295,9468674,NA,NA
"207","SGP",25.84936635,146.8230696,150,136160944489,"144",NA
"208","SLB",0.190727628,76.11619009,63.7939749044317,300163,NA,NA
"209","SLE",NA,87.66460435,1.85253503540724,1349,NA,NA
"210","SLV",6.941630671,156.5132655,61.6194822928656,220682470,NA,NA
"211","SMR",31.43712575,113.7724551,150,NA,NA,NA
"212","SOM",0.664743748,48.28888515,25.6401160099937,NA,NA,NA
"213","SRB",21.29479481,123.9901053,5802.56715062461,366110287,"3",1
"214","SSA",0.48539418879643,72.0306147097825,557.965422810614,NA,NA,NA
"215","SSD",0.001590367,22.17713444,0.159036695650044,NA,NA,NA
"216","SSF",0.486808593395566,72.0399485793659,571.932452384213,NA,NA,NA
"217","SST",7.99630779667715,113.633374543516,2747.62668666708,NA,NA,NA
"218","STP",0.723839727,85.13950677,39.1529264365453,321235,NA,NA
"219","SUR",12.64053021,141.2616569,204.117131284589,2533678,NA,NA
"220","SVK",25.7863098,130.6570231,6963.66692944886,8197748084,"19",2
"221","SVN",28.9339877,117.4615476,150,1707570179,"23",1
"222","SWE",39.01190239,126.3211654,13619.1203991212,15010709919,"246",9
"223","SWZ",0.585114397,76.94254323,33.6440778377683,3562306,NA,NA
"224","SXM",NA,NA,729.76720426184,NA,NA,1
"225","SYC",16.06658433,176.5751502,150,62598408,NA,NA
"226","SYR",7.789164103,84.21516784,12.424829779832,NA,NA,NA
"227","TCA",NA,NA,789.933984088473,NA,NA,NA
"228","TCD",0.070268485,42.65861449,0.604027088869969,NA,NA,NA
"229","TEA",20.6488083768559,115.521641771851,472.666661615033,NA,NA,NA
"230","TEC",17.5281580077844,127.464665786221,4078.79225678262,37337009362,NA,NA
"231","TGO",0.586788863,77.84230825,4.48850647383701,557552,NA,NA
"232","THA",11.88918842,176.0347306,579.728299308812,NA,"51",8
"233","TJK",0.067254448,111.0146757,19.9521529437888,NA,"4",NA
"234","TKM",0.086834576,162.8495634,4.51539794115221,NA,NA,NA
"235","TLA",12.0648368143113,108.774359640597,1001.71832047481,64905131889,NA,NA
"236","TLS",0.258117072,120.0810608,11.5712973198561,154290,NA,NA
"237","TMN",7.02416335950625,100.943170183143,121.692245797868,NA,NA,NA
"238","TON",2.77726347,99.92408813,194.408442880948,NA,NA,NA
"239","TSA",1.61048201246676,86.9342165990616,118.496600872348,NA,NA,NA
"240","TSS",0.486808593395566,72.0399485793659,571.932452384213,NA,NA,NA
"241","TTO",23.86750662,148.3164065,293.618186798138,NA,NA,1
"242","TUN",6.952620276,124.2969315,212.449966948855,602639769,NA,NA
"243","TUR",14.76859502,96.35290201,3366.68440976298,3052401326,"41",2
"244","TUV",4.020729092,71.47962831,NA,NA,NA,NA
"245","TWN",NA,NA,NA,NA,"1861",4
"246","TZA",3.224858467,69.71531452,21.6541543983784,15651169,NA,2
"247","UGA",0.34007219,58.20615087,19.5973409021375,7081459,NA,1
"248","UKR",12.55426783,133.4908372,3948.26051136113,1009138720,"2",13
"249","UMC",21.2499454586445,110.982055320876,1089.06542186076,632045020708,NA,NA
"250","URY",27.57338541,147.4671006,1097.27345049541,117759202,NA,NA
"251","USA",33.85261104,120.6930432,150,110120235610,"9496",79
"252","UZB",10.40471108,76.04190715,202.178638474459,NA,NA,1
"253","VCT",21.99787073,105.4114307,163.789730383905,29837,NA,NA
"254","VEN",8.155010474,78.4636301,269.755839067782,NA,"1",NA
"255","VGB",17.70739838,NA,150,NA,"6",NA
